City/ Location,State,What was the event?,Who made the decision? (Name & title),Category,Date of event,Link to sources or more information ,Additional link,Additional link,"Your name & email or twitter handle to contact (optional, will be viewable by the public)",
Lansing,MI,"Government layoffs, service cuts start as coronavirus guts Michigan budgets",Detroit Mayor Mike Duggan,Not sure,4/16/2020,https://www.bridgemi.com/michigan-government/government-layoffs-service-cuts-start-coronavirus-guts-michigan-budgets?utm_source=Bridge+Magazine&utm_campaign=0ec8e6f87f-Bridge+Newsletter+04%2F17%2F2020&utm_medium=email&utm_term=0_c64a28dd5a-0ec8e6f87f-73906469,,,,
Lansing,MI,"Police, health officials rebut Whitmer's claims about ambulance protest problems",Gov. Gretchen Whitmer,Not sure,4/20/2020,https://www.detroitnews.com/story/news/local/michigan/2020/04/21/police-rebut-whitmer-claims-ambulances-blocked-protest-traffic/5169518002/,,,,
Lansing,MI,"Michigan supplies $1.37B in unemployment benefits to 820,000 workers affected by the coronavirus pandemic",The Michigan Unemployment Agency (UIA),Not sure,4/23/2020,https://www.clickondetroit.com/news/local/2020/04/23/michigan-supplies-137b-in-unemployment-benefits-to-820000-workers-affected-by-the-coronavirus-pandemic/,,,INT,
Las cruces,NM," masses with less than five people present will resume at diocese of Las Cruces church, other masses to resume outdoors",Diocese,Quarantines and forced closures,4/15/2020,https://kfoxtv.com/news/local/diocese-of-las-cruces-announces-it-will-resume-public-mass-amid-covid-19,,,,
Las Cruces,NM,Doña Ana County government declares countywide emergency,Doña Ana County Commissioners,Elected/public officials,4/14/2020,https://www.lcsun-news.com/story/news/2020/04/14/coronavirus-dona-ana-county-declares-emergency-over-covid-19/2988730001/,,,,
Las Vegas,NV,"Schools, and nonessential businesses closed, police patrol to cite/fine non compliant businesses.",Governor Steve Sisolak,Quarantines and forced closures,3/18/2020,https://nvhealthresponse.nv.gov/wp-content/uploads/2020/03/03.24-PUBLIC-GATHERING-DIRECTIVE_.pdf,,,,
Lawrence,KS,The Kansas Supreme Court on Saturday struck down effort to allow the continuation of in-person church services across the state,Kansas Supreme Court,Quarantines and forced closures,4/11/2020,https://www.washingtonpost.com/national/coronavirus-kansas-churches-easter/2020/04/11/04257fec-7c25-11ea-9bee-c5bf9d2e3288_story.html,,,INT,
Little Rock,AK,banning vehicle caravans,Mayor Frank Scott,Quarantines and forced closures,4/7/2020,https://www.usnews.com/news/best-states/arkansas/articles/2020-04-07/little-rock-banning-vehicle-caravans-during-outbreak,,,,
Little Rock,AK,"nightly, citywide curfew",Mayor Frank Scott Jr.,Not sure,3/17/2020,https://www.arkansasonline.com/news/2020/mar/17/lr-mayor-orders-citywide-curfew-2020031/,,,,
Long Island and Westchester County,NY,Schools closed,Governor Andrew Cuomo,Schools,3/16/2020,https://web.archive.org/web/20200316165247/https://www.nytimes.com/interactive/2020/nyregion/school-closings-ny-nj.html,,,,
Los Angeles,CA,Shelter in place order ,Mayor Eric Garcetti,Quarantines and forced closures,3/20/2020,https://corona-virus.la/,,,,
Los Angeles,CA,"LA County sets up $500,000 Employer Assistance Fund, giving $10,000 to individual businesses, the Fund will be closed once 150 applications are received",Board of Supervisors and the Department of Workforce Development of Los Angeles County,Not sure,4/6/2020,https://www.dailynews.com/2020/04/06/la-county-giving-10000-each-to-businesses-as-coronavirus-hits-bottom-lines/,,,INT,
Los Angeles ,CA,Employees and customers at businesses in L.A. that are remaining open to the public will be required to wear masks,Mayor Eric Garcetti ,Elected/public officials,4/8/2020,https://abc7.com/health/garcetti-orders-employees-customers-of-la-businesses-to-wear-masks/6085249/,,,INT,
Los Angeles county,CA,Los Angeles County extends stay-at-home order until at least May 15,"Barbara Ferrer, director of the Los Angeles County Department of Public Health",Quarantines and forced closures,4/10/2020,https://www.latimes.com/california/story/2020-04-10/coronavirus-stay-at-home-order-social-distancing-summer,,,INT,
Los Angeles county,CA,L.A. County Stay at Home orders are extended until May 15 in efforts to curb the spread of the coronaviurs,L.A. County Public Health Virus ,Quarantines and forced closures,4/10/2020,https://ktla.com/news/local-news/l-a-county-officials-to-provide-coronavirus-update/,,,INT,
Madison,WI,Prohibits mass gatherings of 250 or more people,"The Public Health Office Of
Madison & Dane County",Quarantines and forced closures,3/13/2020,https://publichealthmdc.com/documents/2020-03-13%20Order%20for%20Mass%20Gatherings%20of%20250%20or%20More.pdf,https://wkow.com/2020/03/13/public-health-madison-and-dane-county-bans-large-gatherings/,,kristen.vonasek@ballotpedia.org,
Madison,WI,Statewide stay-at-home order,Gov. Tony Evers,Quarantines and forced closures,3/25/2020,https://www.wpr.org/evers-administration-issues-stay-home-order-wisconsin,,,INT,
Madison,WI,Restaurants and bars closed,Gov. Tony Evers,Quarantines and forced closures,3/17/2020,https://www.wpr.org/wisconsin-bans-crowds-10-or-larger-order-bars-and-restaurants-closed,,,INT,
Madison,WI,School closings,Gov. Tony Evers,Quarantines and forced closures,3/18/2020,https://www.wpr.org/wisconsin-bans-crowds-10-or-larger-order-bars-and-restaurants-closed,,,INT,
Madison,WI,7 Midwest States to Partner on Reopening the Economy,"Governors Evers, DeWine, Whitmer, Pritzker, Walz, Beshear, Holcomb",Not sure,4/16/2020,https://www.usnews.com/news/politics/articles/2020-04-16/7-midwest-states-to-partner-on-reopening-the-economy,,,INT,
Madison,WI,Masks are not required but encouraged for going out in public,DHS Wisconsin No name listed,Not sure,4/16/2020,https://www.dhs.wisconsin.gov/covid-19/ppe.htm,,,,
Magna,UT,"Stay at home order extended to May 1, 2020.",Mayor Jennifer Wilson,Quarantines and forced closures,4/10/2020,https://slco.org/health/COVID-19/business/,,,@MeganStael,
Manhattan,KS,County Stay at Home order,"Julie Gibbs, Riley County Local Health Officer",Quarantines and forced closures,3/27/2020,https://www.rileycountyks.gov/DocumentCenter/View/18553/03-27-2020---STAY-AT-HOME-ORDER-FROM-LOCAL-HEALTH-OFFICER-pdf,https://www.rileycountyks.gov/CivicAlerts.aspx?AID=1034,,,
Maui,HI,"Ka Hale A Ke Ola homeless shelter, with 200 housed, tests individual positive, individuals kept solitary",Executive Director,Quarantines and forced closures,4/17/2020,https://www.hawaiinewsnow.com/2020/04/17/homeless-shelter-maui-quarantine-tests-positive-covid-/,,,,
Miami,FL,Shelter-in-place order issued,Mayor Francis Suarez,Quarantines and forced closures,3/24/2020,https://www.nbcmiami.com/news/local/city-of-miami-orders-residents-to-shelter-in-place/2210453/,,,,
Miami,FL,"City creating fund to offer business owners in Little Haiti neighborhood micro-grants of up to $2,500.","Andres Nava, executive vice president at Metro 1",Not sure,4/8/2020,https://www.miamitimesonline.com/covid-19_hub/economic-relief-for-little-haiti-businesses-amid-coronavirus-pandemic/article_cc223b7a-799b-11ea-9192-2375b6606ca3.html,,,INT,
Miami,FL,Miami-Dade ordered all county residents to wear a mask when in certain public spaces,Mayor of Miami Dade Carlos Gimenez,Not sure,4/9/2020,https://www.miamiherald.com/news/local/community/miami-dade/article241906301.html,,,INT,
Miami,FL,Mayor-Dade County Mayor Carlos A. Gimenez issues Executive Order closing all non-essential businesses,Mayor Carlos Gimenez,Quarantines and forced closures,4/19/2020,https://www.abceastflorida.com/wp-content/uploads/2020/03/Miami-Dade-Order-Business-Openings-and-Closures-3-19-2020.pdf,,,Denise Murphy McGraw @dmurphymcgraw,
Miami-Dade,FL,Mayor Declares State of Emergency ,County Mayor,Quarantines and forced closures,3/19/2020,https://www.abceastflorida.com/wp-content/uploads/2020/03/coronavirus-emergency-order-07-20-businesses.pdf,,,Denise Murphy McGraw @dmurphymcgraw,
Miami-Dade County,FL,Public transit and ride share drivers required to wear masks,Mayor Carlos Gimenez,Elected/public officials,4/11/2020,https://www.cnn.com/world/live-news/coronavirus-pandemic-04-11-20/h_1ef4dd0870f0d3af8092266396f8a01a,,,,
Michigan,MI,Michigan’s small businesses impacted by the COVID-19 virus can now apply for grants and loans through the Michigan Small Business Relief Program,Michigan Economic Development Corporation,Not sure,3/27/2020,"https://www.michigan.gov/coronavirus/0,9753,7-406-98163-523333--,00.html",,,INT,
Michigan City,IN,Curfew implemented in Michigan City| COVID-19 Pandemic April 7 updates,Michigan City Mayor,Quarantines and forced closures,4/9/2020,https://wgntv.com/news/coronavirus/covid-19-pandemic-april-7-updates/,,,,
Midvale,UT,"Stay at home order extended to May 1, 2020.",Mayor Jennifer Wilson,Quarantines and forced closures,4/10/2020,https://slco.org/health/COVID-19/business/,,,@MeganStael,
Millcreek,UT,"Stay at home order extended to May 1, 2020.",Mayor Jennifer Wilson,Quarantines and forced closures,4/10/2020,https://slco.org/health/COVID-19/business/,,,@MeganStael,
Milwaukee,WI,"Milwaukee County Covid Dashboard & Administrative orders.  Also contracting procedures, travel administrative order, Federal Families First Response Act & more.  Updated daily","Governor Tony Evers & County Exec, Tony Evers",Quarantines and forced closures,Updated daily,https://county.milwaukee.gov/EN/COVID-19,,,Brenda Kelley bjkelleylady@gmail.com,
Milwaukee ,WI,,,,,,,,,
Minneapolis,MN,local state of public health emergency,Mayor Jacob Frey,Not sure,3/16/2020,http://www.ci.minneapolis.mn.us/coronavirus/index.htm,,,,
Minneapolis,MN,statewide peacetime emergency order,Governor Tim Walz,Not sure,3/16/2020,https://mn.gov/governor/covid-19/news/,,,,
Minnehaha County,SD,"Governor Kristi Noem authorizes the Secretary of the Department of Health, Kim Malsam-Rydson, to declare a public health emergency in Minnehaha County, South Dakota *No stay-at-home ordered issued however","Kim Malsam-Rydson, Secretary of the Department of Health",Quarantines and forced closures,4/10/2020,https://covid.sd.gov/docs/PublicHealthEmergency2020-01MinnehahaCounty.pdf,https://www.cbsnews.com/news/south-dakota-coronavirus-cases-smithfield-foods-plant-governor-kristi-noem-shuns-stay-at-home-order-2020-04-15/,,,
Missula,WY,cloth face covering recommendation.,Missoula City-County Board of Health,Not sure,4/16/2020,https://www.missoulacounty.us/government/health/health-department/emergency-preparedness/coronavirus,,,,
Missula,MT,Extension of closure through 4/24/20,overnor Bullock,Quarantines and forced closures,4/7/2020,https://www.missoulacounty.us/home/showdocument?id=71475,,,LTV,
Mobile,AL,"Curfew instituted in Mobile, AL from 10 pm- 5 am. Effective March 4th",Mobile Mayor Sandy Stimpson,Quarantines and forced closures,3/3/2020,https://www.al.com/news/mobile/2020/04/mobile-institutes-curfew-joining-birmingham-tuscaloosa-and-montgomery.html,https://www.cityofmobile.org/uploads/2004030232140497001.pdf,,INT ,
Mojave County,AR,State of emergency in the unincorporated areas of Mohave County to address COVID- 19,"Jean Bishop, Chairman of the Mohave County Board of Supervisors,",Elected/public officials,3/18/2020,https://resources.mohavecounty.us/File/Notices/PublicNotices/Emerg%20Proc.pdf,,,,
Montclair,NJ,Montclair Public schools close ,Interim Superintendent Nathan Parker ,Schools,3/16/2020,https://www.eastlongmeadowma.gov/DocumentCenter/View/9805/Closing-Town-Hall-to-Non-Essential-Personnel,,https://www.tapinto.net/towns/montclair/sections/education/articles/covid-19-concerns-close-montclair-public-schools-for-weeks,,
Montgomery,AL,Curfew,Mayor Steve Reed,Quarantines and forced closures,3/27/2020,https://www.wsfa.com/2020/03/27/montgomery-mayor-announces-curfew-fight-covid-spread/,https://www.montgomeryal.gov/Home/Components/News/News/1892/193,,JAR,
Morgantown,WV,Morgantown Municipal Court sessions postponed through April 14,Consistent w Gov. Jim Justice stay at home order,Courts,3/24/2020,https://www.morgantownwv.gov/CivicAlerts.aspx?AID=410,,,INT,
Morgantown,WV,Free parking through stay at home order,Morgantown Parking Authority,Not sure,3/24/2020,https://www.morgantownwv.gov/CivicAlerts.aspx?AID=409,,,INT,
Mountain View,CA,City of Mountain View Councilmembers approved an additional $1.134 million for the City’s COVID-19 Rent Relief Program. This is in addition to the $1.3 million relief package already passed in March.,City of Mountain View,Elected/public officials,4/15/2020,https://www.mountainview.gov/civica/press/display.asp?Layout=1&Entry=1435,,,,
Multnomah County,OR,The county issued Executive Rule No. 388 which places a moratorium on evictions due to the inability to pay rent following Covid-19 caused joblessness,Multnomah County Chair Deborah Kafoury,Not sure,3/11/2020,https://beta.portland.gov/phb/rental-services/multnomah-county-city-portland-covid-19-eviction-moratorium-faq,https://multco.us/chair-kafoury,,pkcollier32@gmail.com,
Murfreesboro,TN,State of Emergency extended until April 4,Mayor Shane McFarland,Quarantines and forced closures,3/28/2020,https://www.wkrn.com/community/health/coronavirus/emergency-restrictions-orders-whats-been-declared-in-middle-tennessee-kentucky-so-far/,,,INT,
Murray,UT,"Stay at home order extended to May 1, 2020.",Mayor Jennifer Wilson,Quarantines and forced closures,4/10/2020,https://slco.org/health/COVID-19/business/,,,@MeganStael,
Napa County,CA,"Napa County updates stay-at-home-order, eases some restrictions. Now allowing for drive-in religious services, landscaping, gardening maintenance, all forms of construction work and in-person real estate viewings. Effective 4/22",Napa County Health and Human Services Agency (Public Health Division) director: Jennifer Yasumoto and Health Officer: Karen Relucio.,Quarantines and forced closures,4/22/2020,https://www.mercurynews.com/2020/04/22/coronavirus-napa-county-eases-some-shelter-in-place-restrictions-ahead-of-schedule/,https://www.countyofnapa.org/DocumentCenter/View/17112/Shelter-at-Home-Order-4-22-2020--?bidId=,,,
Nashville,TN,Safer at home order extended until April 24,Mayor John Cooper,Quarantines and forced closures,3/31/2020,https://www.wkrn.com/community/health/coronavirus/emergency-restrictions-orders-whats-been-declared-in-middle-tennessee-kentucky-so-far/,,,INT,
Nashville,TN,"Nashville launches task force to help small businesses amid coronavirus, tornadoes",Vice Mayor Jim Shulman,Not sure,3/24/2020,https://fox17.com/news/local/nashville-launches-task-force-to-help-small-businesses-during-coronavirus,,,INT,
New Hope,PA,All new permit applications temporarily suspended,Mayor Lawrence Keller,Quarantines and forced closures,,http://www.newhopeborough.org/CivicAlerts.aspx?AID=58,,,,
New Jersey,NJ,New Jersey Economic Development Authority Launches application for its Small Business Emergency Assistance Grant Program,New Jersey Economic Development Authority,Not sure,3/31/2020,https://njbmagazine.com/njb-news-now/njeda-announces-application-launch-date-for-covid-19-grants/,,,INT,
New Rochelle,NY,Schools closed,Governor Andrew Cuomo,Schools,3/12/2020,https://www.nred.org/school_closing_announcements,https://newyork.cbslocal.com/2020/03/09/coronavirus-school-closings/,,,
